ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/07/23,11:48:22 +2:00 GMT,212.65.239.210:22,192.168.31.2:22,TCP (flags:SF)
FWIN,2004/07/23,12:05:00 +2:00 GMT,208.4.223.18:3104,192.168.31.2:21,TCP (flags:S)
FWIN,2004/07/23,13:00:12 +2:00 GMT,212.109.210.92:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/07/23,13:10:34 +2:00 GMT,206.45.126.218:3689,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/07/23,13:20:32 +2:00 GMT,200.222.49.105:4072,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/07/23,13:36:58 +2:00 GMT,212.98.163.250:1944,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/07/23,14:16:58 +2:00 GMT,221.125.29.109:4022,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/07/23,14:17:00 +2:00 GMT,221.125.29.109:4345,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/07/23,14:17:54 +2:00 GMT,218.109.147.215:3367,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/07/23,14:25:32 +2:00 GMT,212.72.2.157:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2004/07/23,14:38:00 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
ACCESS,2004/07/23,14:38:00 +2:00 GMT,Aplikacja logowania systemu Windows NT was unable to obtain permission for connecting to the local zone (192.168.31.1:Port 389); access was denied.,N/A,N/A
PE,2004/07/23,14:38:00 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/07/23,14:38:10 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/07/23,14:38:10 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
FWIN,2004/07/23,15:07:52 +2:00 GMT,212.72.3.40:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/07/23,15:16:00 +2:00 GMT,220.72.133.155:2925,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/07/23,15:16:00 +2:00 GMT,220.72.133.155:3540,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/07/23,15:52:28 +2:00 GMT,218.191.224.34:3305,192.168.31.2:9898,TCP (flags:S)
PE,2004/07/23,16:07:46 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
ACCESS,2004/07/23,16:07:46 +2:00 GMT,Aplikacja logowania systemu Windows NT was unable to obtain permission for connecting to the local zone (192.168.31.1:Port 389); access was denied.,N/A,N/A
PE,2004/07/23,16:07:46 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/07/23,16:07:54 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/07/23,16:07:54 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
FWIN,2004/07/23,16:12:18 +2:00 GMT,219.136.138.166:2164,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/07/23,16:12:20 +2:00 GMT,219.136.138.166:2782,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/07/23,16:14:54 +2:00 GMT,61.141.199.232:2761,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/07/23,16:14:54 +2:00 GMT,61.141.199.232:3164,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/07/23,16:14:56 +2:00 GMT,220.184.105.230:4662,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/07/23,16:14:56 +2:00 GMT,61.141.199.232:3949,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/07/23,16:15:00 +2:00 GMT,220.184.105.230:2543,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/07/23,16:15:18 +2:00 GMT,61.142.34.11:1904,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/07/23,16:15:20 +2:00 GMT,61.142.34.11:2943,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/07/23,16:15:28 +2:00 GMT,220.174.96.81:2233,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/07/23,16:15:30 +2:00 GMT,220.174.96.81:3205,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/07/23,16:16:08 +2:00 GMT,218.64.44.148:4329,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/07/23,16:16:10 +2:00 GMT,218.64.44.148:1183,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/07/23,16:18:16 +2:00 GMT,218.74.18.242:3721,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/07/23,16:18:16 +2:00 GMT,218.74.18.242:4606,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/07/23,16:18:18 +2:00 GMT,218.74.18.242:2257,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/07/23,16:45:42 +2:00 GMT,212.123.179.171:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/07/23,16:55:22 +2:00 GMT,219.159.190.221:2115,192.168.31.2:23,TCP (flags:S)
FWIN,2004/07/23,17:03:52 +2:00 GMT,68.73.205.65:3992,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/07/23,17:14:16 +2:00 GMT,218.103.17.178:1361,192.168.31.2:3389,TCP (flags:S)
FWIN,2004/07/23,17:35:28 +2:00 GMT,219.249.149.213:1675,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/07/23,18:17:24 +2:00 GMT,200.171.236.166:4589,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/07/23,18:47:56 +2:00 GMT,66.123.119.73:2294,192.168.31.2:1433,TCP (flags:S)
