ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/04/24,13:40:20 +2:00 GMT,212.179.141.78:4416,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/24,13:57:44 +2:00 GMT,212.108.207.1:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2004/04/24,14:22:44 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
ACCESS,2004/04/24,14:22:44 +2:00 GMT,Aplikacja logowania systemu Windows NT was unable to obtain permission for connecting to the local zone (192.168.31.1:Port 389); access was denied.,N/A,N/A
PE,2004/04/24,14:22:44 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/04/24,14:22:54 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/04/24,14:22:54 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
FWIN,2004/04/24,14:35:20 +2:00 GMT,212.20.115.53:3141,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/24,14:35:28 +2:00 GMT,212.187.43.238:2032,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/24,14:35:28 +2:00 GMT,212.187.43.238:2036,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/04/24,14:35:28 +2:00 GMT,212.187.43.238:2038,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/04/24,14:35:28 +2:00 GMT,212.187.43.238:2039,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/04/24,14:35:28 +2:00 GMT,212.187.43.238:2041,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/04/24,14:35:28 +2:00 GMT,212.187.43.238:2042,192.168.31.2:5000,TCP (flags:S)
FWIN,2004/04/24,15:46:36 +2:00 GMT,202.97.205.83:22002,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/04/24,15:46:36 +2:00 GMT,202.97.205.83:22002,192.168.31.2:1080,TCP (flags:S)
FWIN,2004/04/24,15:46:36 +2:00 GMT,202.97.205.83:22002,192.168.31.2:10080,TCP (flags:S)
FWIN,2004/04/24,15:46:36 +2:00 GMT,202.97.205.83:22002,192.168.31.2:3128,TCP (flags:S)
FWIN,2004/04/24,16:37:36 +2:00 GMT,69.37.86.20:4155,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/04/24,17:34:28 +2:00 GMT,213.96.226.116:4181,192.168.31.2:12849,TCP (flags:S)
FWIN,2004/04/24,17:51:12 +2:00 GMT,212.29.89.240:4410,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/04/24,17:52:26 +2:00 GMT,211.63.154.35:3375,192.168.31.2:20168,TCP (flags:S)
FWIN,2004/04/24,18:19:42 +2:00 GMT,210.103.166.1:1433,192.168.31.2:31337,TCP (flags:S)
FWIN,2004/04/24,18:30:10 +2:00 GMT,80.178.68.204:3504,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/04/24,18:59:44 +2:00 GMT,200.74.146.113:3071,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/04/24,19:10:04 +2:00 GMT,210.103.166.1:1894,192.168.31.2:31337,TCP (flags:S)
FWIN,2004/04/24,20:56:00 +2:00 GMT,82.45.230.179:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/04/24,21:46:00 +2:00 GMT,216.41.124.210:3300,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/04/24,21:49:36 +2:00 GMT,212.127.249.63:3533,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/24,21:49:36 +2:00 GMT,212.127.249.63:3535,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/04/24,21:58:06 +2:00 GMT,220.5.100.141:53,192.168.31.2:53,UDP
FWIN,2004/04/24,22:15:44 +2:00 GMT,24.158.110.163:0,192.168.31.2:0,ICMP (type:3/subtype:3)
PE,2004/04/24,22:22:54 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
ACCESS,2004/04/24,22:22:54 +2:00 GMT,Aplikacja logowania systemu Windows NT was unable to obtain permission for connecting to the local zone (192.168.31.1:Port 389); access was denied.,N/A,N/A
PE,2004/04/24,22:22:54 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/04/24,22:23:02 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/04/24,22:23:02 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
FWIN,2004/04/24,22:25:06 +2:00 GMT,212.17.64.135:1894,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/24,22:25:06 +2:00 GMT,212.17.64.135:1899,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/04/24,22:25:06 +2:00 GMT,212.17.64.135:1901,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/04/24,22:25:06 +2:00 GMT,212.17.64.135:1903,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/04/24,22:38:54 +2:00 GMT,81.0.185.2:38313,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/24,22:44:34 +2:00 GMT,212.203.35.54:1269,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/24,22:44:34 +2:00 GMT,212.203.35.54:1276,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/04/24,23:08:28 +2:00 GMT,128.211.223.149:2246,192.168.31.2:4000,TCP (flags:S)
PE,2004/04/24,23:37:38 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
ACCESS,2004/04/24,23:37:38 +2:00 GMT,Aplikacja logowania systemu Windows NT was unable to obtain permission for connecting to the local zone (192.168.31.1:Port 389); access was denied.,N/A,N/A
PE,2004/04/24,23:37:38 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/04/24,23:37:46 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/04/24,23:37:46 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
FWIN,2004/04/25,00:30:58 +2:00 GMT,68.3.119.250:2094,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/04/25,00:59:54 +2:00 GMT,211.95.165.250:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/04/25,01:31:40 +2:00 GMT,68.252.2.8:0,192.168.31.2:0,ICMP (type:3/subtype:3)
FWIN,2004/04/25,02:47:16 +2:00 GMT,80.142.154.249:1208,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/04/25,03:01:50 +2:00 GMT,212.107.57.98:4192,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/25,03:20:08 +2:00 GMT,67.108.202.233:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/04/25,05:14:24 +2:00 GMT,212.235.29.46:4272,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/25,05:17:02 +2:00 GMT,211.210.94.82:1212,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/04/25,05:24:24 +2:00 GMT,80.181.178.225:24398,192.168.31.2:65506,TCP (flags:S)
FWIN,2004/04/25,06:01:12 +2:00 GMT,66.6.195.211:3500,192.168.31.2:3127,TCP (flags:S)
PE,2004/04/25,07:37:46 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
ACCESS,2004/04/25,07:37:46 +2:00 GMT,Aplikacja logowania systemu Windows NT was unable to obtain permission for connecting to the local zone (192.168.31.1:Port 389); access was denied.,N/A,N/A
PE,2004/04/25,07:37:46 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/04/25,07:37:56 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/04/25,07:37:56 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
FWIN,2004/04/25,07:46:58 +2:00 GMT,211.109.128.162:666,192.168.31.2:1026,UDP
FWIN,2004/04/25,07:46:58 +2:00 GMT,211.109.128.162:666,192.168.31.2:1027,UDP
FWIN,2004/04/25,08:07:32 +2:00 GMT,82.137.147.2:4166,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/04/25,08:10:00 +2:00 GMT,211.235.20.10:3977,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/04/25,08:13:06 +2:00 GMT,210.207.213.76:4119,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/04/25,08:13:54 +2:00 GMT,211.60.224.100:3813,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/04/25,08:14:14 +2:00 GMT,64.156.39.12:666,192.168.31.2:1026,UDP
FWIN,2004/04/25,08:34:32 +2:00 GMT,210.109.37.207:2791,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/04/25,08:35:34 +2:00 GMT,221.146.92.70:3076,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/04/25,08:37:26 +2:00 GMT,211.177.20.207:4477,192.168.31.2:1433,TCP (flags:S)
