ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/02/26,14:20:34 +1:00 GMT,202.81.169.122:3099,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/26,14:24:40 +1:00 GMT,218.156.154.80:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,14:26:54 +1:00 GMT,211.215.149.20:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,14:39:54 +1:00 GMT,217.98.121.102:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,14:45:12 +1:00 GMT,209.110.44.73:2485,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/26,15:07:56 +1:00 GMT,24.100.170.57:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,15:11:22 +1:00 GMT,24.46.76.219:1677,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/26,15:21:52 +1:00 GMT,217.228.150.221:22163,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/26,15:51:30 +1:00 GMT,67.101.192.216:4318,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/26,15:56:56 +1:00 GMT,210.221.101.176:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,15:57:58 +1:00 GMT,218.159.237.111:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,16:12:48 +1:00 GMT,218.78.213.117:1750,192.168.31.2:3389,TCP (flags:S)
FWIN,2004/02/26,16:22:38 +1:00 GMT,194.65.4.182:0,192.168.31.2:0,ICMP (type:3/subtype:3)
FWIN,2004/02/26,16:24:26 +1:00 GMT,61.229.7.13:1228,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/26,16:29:18 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,16:39:38 +1:00 GMT,200.214.34.234:1636,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/26,16:44:04 +1:00 GMT,61.150.131.3:3121,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/26,16:44:56 +1:00 GMT,82.83.12.238:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,16:45:08 +1:00 GMT,210.217.39.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,16:53:18 +1:00 GMT,66.177.147.150:2250,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/26,17:08:22 +1:00 GMT,68.194.70.215:34296,192.168.31.2:901,TCP (flags:S)
FWIN,2004/02/26,18:04:30 +1:00 GMT,165.76.252.244:2212,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/02/26,18:34:28 +1:00 GMT,211.37.59.151:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,18:43:44 +1:00 GMT,211.211.16.250:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,19:13:08 +1:00 GMT,193.208.113.242:3801,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/26,19:38:32 +1:00 GMT,82.82.143.26:4067,192.168.31.2:8383,TCP (flags:S)
FWIN,2004/02/26,19:41:10 +1:00 GMT,217.99.134.56:1053,192.168.31.2:22,TCP (flags:S)
FWIN,2004/02/26,20:01:54 +1:00 GMT,80.108.97.77:2648,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/26,20:14:36 +1:00 GMT,218.238.58.186:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,20:58:58 +1:00 GMT,24.136.156.211:2835,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/26,21:42:22 +1:00 GMT,211.168.101.62:4111,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/02/26,22:13:28 +1:00 GMT,80.45.170.76:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,22:39:12 +1:00 GMT,80.13.73.97:4717,192.168.31.2:901,TCP (flags:S)
FWIN,2004/02/26,22:50:58 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,23:00:00 +1:00 GMT,24.242.31.163:4530,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/26,23:02:24 +1:00 GMT,61.111.36.141:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,23:04:34 +1:00 GMT,12.134.217.164:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/26,23:24:42 +1:00 GMT,62.244.16.66:34292,192.168.31.2:1080,TCP (flags:S)
FWIN,2004/02/26,23:44:36 +1:00 GMT,12.135.152.26:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,00:01:54 +1:00 GMT,210.11.43.129:9969,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/27,00:09:00 +1:00 GMT,211.252.226.98:4201,192.168.31.2:23,TCP (flags:S)
FWIN,2004/02/27,00:14:02 +1:00 GMT,218.51.238.78:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,00:16:10 +1:00 GMT,24.67.234.235:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,00:26:56 +1:00 GMT,172.182.238.84:1823,192.168.31.2:901,TCP (flags:S)
FWIN,2004/02/27,00:47:10 +1:00 GMT,221.142.136.183:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,01:46:10 +1:00 GMT,218.146.184.28:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,01:58:38 +1:00 GMT,218.144.201.53:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,02:05:48 +1:00 GMT,12.135.153.54:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,02:10:24 +1:00 GMT,61.73.242.38:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,02:12:00 +1:00 GMT,211.215.147.70:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,02:22:30 +1:00 GMT,211.216.116.188:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,02:36:22 +1:00 GMT,64.222.176.161:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/27,03:00:24 +1:00 GMT,211.187.16.34:1494,192.168.31.2:901,TCP (flags:S)
FWIN,2004/02/27,03:25:48 +1:00 GMT,194.204.198.243:1558,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/27,04:16:12 +1:00 GMT,130.219.92.245:3074,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/02/27,04:42:56 +1:00 GMT,218.48.22.68:0,192.168.31.2:0,ICMP (type:8/subtype:0)
