ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/06/17,10:00:34 +2:00 GMT,66.238.201.7:1137,192.168.31.2:9001,TCP (flags:S)
FWIN,2004/06/17,10:08:02 +2:00 GMT,61.83.135.7:61706,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/06/17,10:38:42 +2:00 GMT,202.85.157.168:43772,192.168.31.2:21,TCP (flags:S)
FWIN,2004/06/17,11:29:54 +2:00 GMT,212.152.43.133:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,11:30:38 +2:00 GMT,217.37.150.226:4620,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/17,11:45:50 +2:00 GMT,80.140.231.162:1077,192.168.31.2:21,TCP (flags:S)
FWIN,2004/06/17,11:59:18 +2:00 GMT,24.144.45.63:3845,192.168.31.2:21,TCP (flags:S)
FWIN,2004/06/17,12:27:38 +2:00 GMT,194.212.176.139:2747,192.168.31.2:21,TCP (flags:S)
FWIN,2004/06/17,12:32:04 +2:00 GMT,212.205.239.36:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,12:32:50 +2:00 GMT,64.75.163.188:3611,192.168.31.2:8000,TCP (flags:S)
FWIN,2004/06/17,12:51:38 +2:00 GMT,209.13.254.4:3911,192.168.31.2:21,TCP (flags:S)
FWIN,2004/06/17,12:51:52 +2:00 GMT,131.211.220.54:2466,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/17,12:51:54 +2:00 GMT,131.211.220.54:2718,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/17,13:06:44 +2:00 GMT,216.13.50.197:3049,192.168.31.2:8000,TCP (flags:S)
FWIN,2004/06/17,13:20:24 +2:00 GMT,61.17.14.15:37282,192.168.31.2:21,TCP (flags:S)
PE,2004/06/17,13:25:50 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
ACCESS,2004/06/17,13:25:50 +2:00 GMT,Aplikacja logowania systemu Windows NT was unable to obtain permission for connecting to the local zone (192.168.31.1:Port 389); access was denied.,N/A,N/A
PE,2004/06/17,13:25:50 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/06/17,13:26:00 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/06/17,13:26:00 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
FWIN,2004/06/17,13:41:42 +2:00 GMT,129.174.173.53:1868,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/06/17,13:44:32 +2:00 GMT,217.43.171.191:4900,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/17,13:45:44 +2:00 GMT,212.47.242.155:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,14:16:16 +2:00 GMT,81.10.146.212:4607,192.168.31.2:1521,TCP (flags:S)
FWIN,2004/06/17,14:20:10 +2:00 GMT,212.89.28.125:2202,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/17,15:01:40 +2:00 GMT,212.202.66.74:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,15:02:12 +2:00 GMT,212.7.131.218:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,15:03:58 +2:00 GMT,212.144.184.99:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,15:22:12 +2:00 GMT,61.52.245.211:2056,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/06/17,15:27:38 +2:00 GMT,212.52.130.216:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,15:54:02 +2:00 GMT,212.254.180.245:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,16:15:22 +2:00 GMT,219.145.49.176:4633,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/17,16:15:24 +2:00 GMT,219.145.49.176:1133,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/06/17,16:15:26 +2:00 GMT,219.145.49.176:1723,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/17,16:15:28 +2:00 GMT,218.72.12.235:4742,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/17,16:15:36 +2:00 GMT,218.61.5.94:1435,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/17,16:15:38 +2:00 GMT,218.61.5.94:2555,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/06/17,16:15:40 +2:00 GMT,218.24.60.159:2924,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/17,16:15:40 +2:00 GMT,218.61.5.94:1135,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/17,16:15:42 +2:00 GMT,61.150.16.153:1772,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/17,16:21:10 +2:00 GMT,212.78.185.150:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,16:21:14 +2:00 GMT,80.138.109.89:4900,192.168.31.2:901,TCP (flags:S)
FWIN,2004/06/17,16:21:42 +2:00 GMT,212.15.119.102:3758,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/17,16:21:42 +2:00 GMT,212.15.119.102:3761,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/06/17,16:21:42 +2:00 GMT,212.15.119.102:3760,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/06/17,16:21:48 +2:00 GMT,81.215.125.158:50776,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/17,16:32:04 +2:00 GMT,212.97.190.37:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,16:54:58 +2:00 GMT,213.132.76.4:1932,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/06/17,17:17:10 +2:00 GMT,212.183.195.243:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,19:06:30 +2:00 GMT,212.76.57.194:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,19:21:44 +2:00 GMT,212.109.210.196:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,19:35:28 +2:00 GMT,212.15.131.193:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,19:36:48 +2:00 GMT,212.198.155.176:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,20:12:06 +2:00 GMT,81.84.77.4:3921,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/17,20:27:54 +2:00 GMT,212.181.211.10:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,20:57:22 +2:00 GMT,212.253.31.211:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/17,20:58:10 +2:00 GMT,212.144.191.223:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2004/06/17,21:26:00 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
ACCESS,2004/06/17,21:26:00 +2:00 GMT,Aplikacja logowania systemu Windows NT was unable to obtain permission for connecting to the local zone (192.168.31.1:Port 389); access was denied.,N/A,N/A
PE,2004/06/17,21:26:00 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/06/17,21:26:08 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
PE,2004/06/17,21:26:08 +2:00 GMT,Aplikacja logowania systemu Windows NT,192.168.31.1:389,N/A
