ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/01/10,17:10:22 +1:00 GMT,65.31.216.243:3083,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/01/10,17:55:48 +1:00 GMT,212.107.41.11:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/10,18:26:32 +1:00 GMT,205.158.126.74:3790,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/01/10,18:42:46 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/10,19:14:58 +1:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/10,19:42:24 +1:00 GMT,24.222.231.161:2283,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/01/10,19:48:56 +1:00 GMT,212.111.147.124:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/10,20:33:16 +1:00 GMT,212.110.222.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/10,20:50:58 +1:00 GMT,212.107.41.49:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/10,20:55:52 +1:00 GMT,147.52.78.202:1045,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/01/10,21:03:26 +1:00 GMT,194.109.230.235:1881,192.168.31.2:1257,TCP (flags:S)
FWIN,2004/01/10,21:40:34 +1:00 GMT,4.34.181.19:3362,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/01/10,22:06:54 +1:00 GMT,212.110.222.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/10,23:34:52 +1:00 GMT,212.110.222.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/10,23:45:12 +1:00 GMT,212.107.41.49:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/11,00:16:38 +1:00 GMT,211.133.251.225:3239,192.168.31.2:406,TCP (flags:S)
FWIN,2004/01/11,00:17:54 +1:00 GMT,130.219.202.118:4591,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/01/11,00:39:48 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/11,01:19:48 +1:00 GMT,212.109.5.46:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/11,01:29:52 +1:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/11,02:24:36 +1:00 GMT,65.31.216.243:4284,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/01/11,02:31:44 +1:00 GMT,212.110.222.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/11,02:38:42 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/11,03:12:12 +1:00 GMT,212.109.5.46:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/11,03:31:20 +1:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
