ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/06/27,10:44:58 +2:00 GMT,210.102.62.15:2895,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/27,10:55:24 +2:00 GMT,61.51.217.251:4808,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/27,11:04:22 +2:00 GMT,211.112.109.172:4031,192.168.31.2:1027,UDP
FWIN,2004/06/27,11:07:00 +2:00 GMT,194.67.188.12:3018,192.168.31.2:25,TCP (flags:S)
FWIN,2004/06/27,12:10:14 +2:00 GMT,212.205.230.82:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,12:27:20 +2:00 GMT,221.124.187.86:4738,192.168.31.2:23,TCP (flags:S)
FWIN,2004/06/27,12:28:26 +2:00 GMT,82.80.252.231:3313,192.168.31.2:1026,UDP
FWIN,2004/06/27,12:39:40 +2:00 GMT,211.75.136.238:63332,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/27,13:02:20 +2:00 GMT,210.207.70.151:1159,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/27,13:04:54 +2:00 GMT,212.127.194.26:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,13:17:20 +2:00 GMT,218.69.225.24:4373,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/27,14:18:52 +2:00 GMT,212.96.101.47:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,14:42:22 +2:00 GMT,212.109.211.70:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,14:48:52 +2:00 GMT,129.108.202.69:2070,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/27,15:23:44 +2:00 GMT,222.65.86.185:3454,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/06/27,15:56:00 +2:00 GMT,212.105.19.85:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,16:01:26 +2:00 GMT,194.125.41.129:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,16:02:50 +2:00 GMT,210.102.62.15:4384,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/27,16:15:12 +2:00 GMT,218.175.86.181:4360,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/27,16:15:14 +2:00 GMT,218.175.86.181:1162,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/06/27,16:15:16 +2:00 GMT,218.175.86.181:2291,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/27,16:15:38 +2:00 GMT,212.88.244.225:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,16:16:06 +2:00 GMT,218.95.187.142:3084,192.168.31.2:1023,TCP (flags:S)
FWIN,2004/06/27,16:17:48 +2:00 GMT,218.109.23.95:1279,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/27,16:28:10 +2:00 GMT,218.91.192.137:1110,192.168.31.2:1026,UDP
FWIN,2004/06/27,16:36:32 +2:00 GMT,212.127.135.190:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,16:37:26 +2:00 GMT,61.54.190.106:4243,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/27,16:46:44 +2:00 GMT,212.235.78.143:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,16:54:00 +2:00 GMT,218.108.202.25:3359,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/27,17:10:02 +2:00 GMT,212.119.162.19:3209,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/27,17:21:40 +2:00 GMT,212.90.237.126:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,17:22:14 +2:00 GMT,212.17.84.17:4257,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/27,17:22:14 +2:00 GMT,212.17.84.17:4259,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/06/27,17:30:36 +2:00 GMT,212.89.18.176:1825,192.168.31.2:5000,TCP (flags:S)
FWIN,2004/06/27,17:47:20 +2:00 GMT,212.186.106.178:2502,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/27,18:05:56 +2:00 GMT,212.109.211.82:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,18:36:40 +2:00 GMT,62.87.135.198:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,18:47:54 +2:00 GMT,212.109.211.126:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,18:53:14 +2:00 GMT,212.199.150.178:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,19:07:38 +2:00 GMT,82.217.107.17:3802,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/27,20:09:08 +2:00 GMT,212.65.27.85:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,20:12:34 +2:00 GMT,24.80.167.188:3863,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/06/27,21:03:10 +2:00 GMT,212.64.2.122:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,21:04:24 +2:00 GMT,212.194.74.182:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/27,21:14:58 +2:00 GMT,192.168.50.250:2231,192.168.31.2:445,TCP (flags:S)
FWIN,2004/06/27,21:33:04 +2:00 GMT,212.127.208.173:2495,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/06/27,21:39:50 +2:00 GMT,140.126.75.11:3555,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/27,22:19:32 +2:00 GMT,218.91.205.106:3817,192.168.31.2:1026,UDP
FWIN,2004/06/27,22:19:32 +2:00 GMT,218.91.205.106:4319,192.168.31.2:1027,UDP
FWIN,2004/06/27,22:19:34 +2:00 GMT,218.91.205.106:3964,192.168.31.2:1026,UDP
FWIN,2004/06/27,22:19:34 +2:00 GMT,218.91.205.106:4467,192.168.31.2:1027,UDP
FWIN,2004/06/27,22:19:36 +2:00 GMT,218.91.205.106:3003,192.168.31.2:1027,UDP
FWIN,2004/06/27,22:44:08 +2:00 GMT,200.109.51.16:4982,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/27,22:50:18 +2:00 GMT,213.126.181.24:4879,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/06/27,23:09:46 +2:00 GMT,82.80.252.230:4774,192.168.31.2:1026,UDP
FWIN,2004/06/27,23:20:02 +2:00 GMT,24.176.24.75:4325,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/27,23:28:38 +2:00 GMT,218.144.207.99:3030,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/27,23:43:44 +2:00 GMT,212.44.72.237:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/28,01:06:06 +2:00 GMT,212.253.45.173:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/28,01:11:48 +2:00 GMT,212.251.91.171:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/28,02:30:18 +2:00 GMT,195.62.61.118:4999,192.168.31.2:1521,TCP (flags:S)
FWIN,2004/06/28,03:47:50 +2:00 GMT,207.134.16.187:3275,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/28,03:47:50 +2:00 GMT,207.134.16.187:3529,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/28,03:54:26 +2:00 GMT,220.164.128.203:2356,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/28,04:05:12 +2:00 GMT,212.198.119.215:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/28,04:14:58 +2:00 GMT,218.62.7.142:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/28,04:30:36 +2:00 GMT,218.102.134.166:1966,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/28,05:04:04 +2:00 GMT,12.219.231.24:2540,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/28,07:00:30 +2:00 GMT,193.214.204.134:46929,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/06/28,07:03:20 +2:00 GMT,61.141.221.140:3902,192.168.31.2:5554,TCP (flags:S)
FWIN,2004/06/28,07:03:20 +2:00 GMT,61.141.221.140:4248,192.168.31.2:9898,TCP (flags:S)
FWIN,2004/06/28,08:38:00 +2:00 GMT,67.123.79.91:1358,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/06/28,08:44:14 +2:00 GMT,212.109.211.13:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/06/28,08:50:06 +2:00 GMT,12.98.48.102:0,192.168.31.2:0,ICMP (type:8/subtype:0)
