ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/01/31,13:23:56 +1:00 GMT,68.91.136.2:220,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/01/31,13:53:22 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/31,15:23:38 +1:00 GMT,195.67.23.34:2499,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/01/31,15:32:04 +1:00 GMT,80.129.85.251:4053,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/01/31,15:36:18 +1:00 GMT,66.26.216.44:4674,192.168.31.2:3410,TCP (flags:S)
FWIN,2004/01/31,15:53:06 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/31,15:53:54 +1:00 GMT,81.57.35.95:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/31,16:21:38 +1:00 GMT,61.72.47.7:3453,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/01/31,16:53:32 +1:00 GMT,82.49.0.143:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2004/01/31,17:11:02 +1:00 GMT,COM Surrogate,192.168.11.1:53,N/A
FWIN,2004/01/31,17:25:34 +1:00 GMT,212.108.73.156:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/31,17:29:06 +1:00 GMT,192.168.1.202:2615,192.168.31.2:3127,TCP (flags:S)
PE,2004/01/31,17:30:32 +1:00 GMT,Report Server Activation Tool,192.168.11.1:53,N/A
PE,2004/01/31,17:34:40 +1:00 GMT,aspnet_wp.exe,192.168.11.1:53,N/A
FWIN,2004/01/31,18:33:40 +1:00 GMT,4.65.104.27:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/31,18:43:20 +1:00 GMT,81.32.182.172:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/31,18:45:34 +1:00 GMT,24.128.72.252:2274,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/01/31,21:46:00 +1:00 GMT,81.190.5.243:1400,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/01/31,21:53:30 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/31,22:50:00 +1:00 GMT,61.97.216.113:4655,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/01/31,23:03:38 +1:00 GMT,4.41.130.206:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/31,23:52:14 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/01,00:14:24 +1:00 GMT,140.113.17.197:2835,192.168.31.2:4000,TCP (flags:S)
FWIN,2004/02/01,01:34:52 +1:00 GMT,212.180.3.159:1549,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/01,01:38:14 +1:00 GMT,192.168.50.246:2428,192.168.31.2:25,TCP (flags:S)
FWIN,2004/02/01,01:38:50 +1:00 GMT,192.168.50.246:2429,192.168.31.2:23,TCP (flags:S)
FWIN,2004/02/01,01:39:20 +1:00 GMT,192.168.50.246:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/01,01:39:42 +1:00 GMT,192.168.50.246:2430,192.168.31.2:445,TCP (flags:S)
FWIN,2004/02/01,01:39:42 +1:00 GMT,192.168.50.246:2431,192.168.31.2:139,TCP (flags:S)
FWIN,2004/02/01,01:41:50 +1:00 GMT,192.168.50.246:2438,192.168.31.2:445,TCP (flags:S)
FWIN,2004/02/01,01:41:50 +1:00 GMT,192.168.50.246:2439,192.168.31.2:139,TCP (flags:S)
FWIN,2004/02/01,02:08:02 +1:00 GMT,210.187.121.250:3283,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/02/01,03:26:10 +1:00 GMT,68.58.200.228:220,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/02/01,03:33:52 +1:00 GMT,213.200.242.212:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/01,03:39:10 +1:00 GMT,66.57.32.114:2017,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/01,05:11:56 +1:00 GMT,24.80.55.95:1217,192.168.31.2:20168,TCP (flags:S)
FWIN,2004/02/01,05:40:26 +1:00 GMT,200.223.0.158:1915,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/02/01,06:05:00 +1:00 GMT,24.108.144.65:0,192.168.31.2:0,ICMP (type:3/subtype:3)
FWIN,2004/02/01,06:49:36 +1:00 GMT,4.11.164.153:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/01,07:19:06 +1:00 GMT,208.37.55.108:220,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/02/01,07:44:24 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/01,07:49:42 +1:00 GMT,142.177.42.160:2662,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/01,08:50:10 +1:00 GMT,81.59.142.115:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/01,10:19:30 +1:00 GMT,81.61.40.230:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/01,10:54:00 +1:00 GMT,24.218.234.236:4983,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/02/01,11:37:28 +1:00 GMT,217.225.157.247:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/01,11:50:06 +1:00 GMT,64.109.80.189:4406,192.168.31.2:20168,TCP (flags:S)
FWIN,2004/02/01,12:05:18 +1:00 GMT,212.56.234.92:220,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/02/01,13:08:16 +1:00 GMT,24.97.121.7:4160,192.168.31.2:4899,TCP (flags:S)
