ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/02/15,14:15:04 +1:00 GMT,203.177.126.104:4140,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,14:20:38 +1:00 GMT,217.173.226.11:2925,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,14:49:46 +1:00 GMT,195.94.233.226:1329,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/15,14:52:10 +1:00 GMT,172.183.132.169:4537,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/15,15:18:34 +1:00 GMT,68.146.175.76:3285,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,15:29:38 +1:00 GMT,202.196.102.12:1036,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/15,15:37:42 +1:00 GMT,80.181.80.51:1087,192.168.31.2:8080,TCP (flags:S)
FWIN,2004/02/15,15:52:22 +1:00 GMT,66.177.147.150:1411,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/15,15:52:36 +1:00 GMT,220.166.35.147:22002,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,15:52:36 +1:00 GMT,220.166.35.147:22002,192.168.31.2:1080,TCP (flags:S)
FWIN,2004/02/15,15:52:36 +1:00 GMT,220.166.35.147:22002,192.168.31.2:10080,TCP (flags:S)
FWIN,2004/02/15,15:52:36 +1:00 GMT,220.166.35.147:22002,192.168.31.2:3128,TCP (flags:S)
FWIN,2004/02/15,15:53:36 +1:00 GMT,203.243.238.129:1107,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,15:53:40 +1:00 GMT,80.181.70.206:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/15,17:08:54 +1:00 GMT,172.200.163.248:2212,192.168.31.2:27374,TCP (flags:S)
FWIN,2004/02/15,17:27:56 +1:00 GMT,216.147.140.156:3097,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/02/15,18:21:52 +1:00 GMT,80.181.145.178:1150,192.168.31.2:23,TCP (flags:S)
FWIN,2004/02/15,18:35:00 +1:00 GMT,67.100.55.183:4383,192.168.31.2:27374,TCP (flags:S)
FWIN,2004/02/15,19:07:30 +1:00 GMT,24.20.12.83:2008,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,19:09:40 +1:00 GMT,80.130.185.112:1985,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/15,19:29:24 +1:00 GMT,213.73.210.11:2938,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/02/15,20:01:50 +1:00 GMT,212.186.35.96:4834,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,20:37:10 +1:00 GMT,12.28.254.58:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/15,21:18:08 +1:00 GMT,66.214.142.102:3273,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/15,21:30:22 +1:00 GMT,212.235.31.130:1818,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/15,21:45:20 +1:00 GMT,216.175.109.183:4836,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,21:56:50 +1:00 GMT,219.248.9.164:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/15,22:22:24 +1:00 GMT,80.183.110.14:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/15,22:25:58 +1:00 GMT,211.49.50.93:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/15,22:38:18 +1:00 GMT,68.150.71.19:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/15,22:46:10 +1:00 GMT,69.140.51.184:3313,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/15,22:50:18 +1:00 GMT,61.77.11.36:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/15,22:52:20 +1:00 GMT,211.38.63.81:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/15,22:56:44 +1:00 GMT,61.167.36.202:2883,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/15,22:56:44 +1:00 GMT,24.220.157.13:2053,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,23:25:04 +1:00 GMT,211.221.139.154:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/15,23:31:14 +1:00 GMT,61.238.37.79:22002,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,23:31:14 +1:00 GMT,61.238.37.79:22002,192.168.31.2:1080,TCP (flags:S)
FWIN,2004/02/15,23:31:14 +1:00 GMT,61.238.37.79:22002,192.168.31.2:10080,TCP (flags:S)
FWIN,2004/02/15,23:31:14 +1:00 GMT,61.238.37.79:22002,192.168.31.2:3128,TCP (flags:S)
FWIN,2004/02/15,23:39:40 +1:00 GMT,81.220.246.21:1427,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/15,23:47:08 +1:00 GMT,80.133.251.219:3036,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/16,01:02:04 +1:00 GMT,211.104.250.122:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/16,01:08:08 +1:00 GMT,128.163.201.50:4453,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/16,01:10:36 +1:00 GMT,200.223.109.94:4648,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/16,01:28:44 +1:00 GMT,211.207.65.117:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/16,01:30:40 +1:00 GMT,66.95.66.132:3831,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/16,01:48:24 +1:00 GMT,218.147.118.147:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/16,01:48:42 +1:00 GMT,68.73.66.42:2813,192.168.31.2:27374,TCP (flags:S)
FWIN,2004/02/16,02:06:14 +1:00 GMT,220.86.123.50:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/16,02:24:46 +1:00 GMT,211.212.22.96:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/16,02:39:12 +1:00 GMT,66.89.58.30:2488,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/16,02:46:02 +1:00 GMT,218.152.204.38:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/16,02:51:34 +1:00 GMT,62.10.20.19:3368,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/16,03:23:28 +1:00 GMT,80.128.1.161:1170,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/16,03:40:58 +1:00 GMT,218.64.117.195:3618,192.168.31.2:20168,TCP (flags:S)
FWIN,2004/02/16,04:23:38 +1:00 GMT,61.181.179.196:1268,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/16,04:27:40 +1:00 GMT,24.103.141.226:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/16,04:37:48 +1:00 GMT,61.78.65.115:1445,192.168.31.2:4899,TCP (flags:S)
FWIN,2004/02/16,04:40:16 +1:00 GMT,221.227.42.7:3376,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/16,06:16:24 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/16,06:38:26 +1:00 GMT,211.229.246.172:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/16,07:03:14 +1:00 GMT,212.56.142.100:2066,192.168.31.2:27374,TCP (flags:S)
FWIN,2004/02/16,07:07:08 +1:00 GMT,64.63.217.146:0,192.168.31.2:3128,TCP (flags:S)
FWIN,2004/02/16,07:48:08 +1:00 GMT,64.63.217.146:0,192.168.31.2:1080,TCP (flags:S)
FWIN,2004/02/16,08:15:16 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/16,08:29:58 +1:00 GMT,62.244.21.206:3128,192.168.31.2:1433,TCP (flags:S)
