ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/04/12,08:56:22 +2:00 GMT,203.227.28.142:2384,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/04/12,08:56:22 +2:00 GMT,203.227.28.142:2404,192.168.31.2:901,TCP (flags:S)
FWIN,2004/04/12,09:17:12 +2:00 GMT,141.151.76.175:3064,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/12,09:17:12 +2:00 GMT,141.151.76.175:3066,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/04/12,09:17:12 +2:00 GMT,141.151.76.175:3069,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/04/12,09:17:12 +2:00 GMT,141.151.76.175:3070,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/04/12,09:17:12 +2:00 GMT,141.151.76.175:3076,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/04/12,09:17:12 +2:00 GMT,141.151.76.175:3077,192.168.31.2:5000,TCP (flags:S)
FWIN,2004/04/12,09:37:26 +2:00 GMT,217.72.78.219:1747,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/04/12,09:42:18 +2:00 GMT,221.193.69.81:1373,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/04/12,09:44:40 +2:00 GMT,80.227.141.70:3167,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/12,09:44:40 +2:00 GMT,80.227.141.70:3169,192.168.31.2:1025,TCP (flags:S)
FWIN,2004/04/12,09:44:40 +2:00 GMT,80.227.141.70:3174,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/04/12,09:44:40 +2:00 GMT,80.227.141.70:3177,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/04/12,10:04:20 +2:00 GMT,211.222.36.211:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/04/12,10:36:04 +2:00 GMT,68.73.65.114:2101,192.168.31.2:901,TCP (flags:S)
FWIN,2004/04/12,11:21:24 +2:00 GMT,193.255.80.153:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/04/12,11:24:42 +2:00 GMT,24.87.231.233:31710,192.168.31.2:1080,TCP (flags:S)
FWIN,2004/04/12,11:26:50 +2:00 GMT,218.4.159.10:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/04/12,11:29:38 +2:00 GMT,211.176.248.189:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/04/12,12:02:40 +2:00 GMT,212.96.77.63:3451,192.168.31.2:2745,TCP (flags:S)
FWIN,2004/04/12,12:15:10 +2:00 GMT,211.51.10.158:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/04/12,13:14:52 +2:00 GMT,65.68.77.21:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/04/12,13:35:02 +2:00 GMT,207.65.1.3:3998,192.168.31.2:6129,TCP (flags:S)
