ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2003/11/23,15:09:18 +1:00 GMT,212.107.59.116:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:14:42 +1:00 GMT,212.107.59.30:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:18:52 +1:00 GMT,212.107.59.119:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:19:22 +1:00 GMT,212.106.68.235:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:19:28 +1:00 GMT,212.106.68.102:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:21:48 +1:00 GMT,212.107.56.14:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:28:58 +1:00 GMT,212.107.59.16:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:33:24 +1:00 GMT,212.110.222.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:39:12 +1:00 GMT,212.112.181.50:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:50:26 +1:00 GMT,212.107.59.121:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:52:50 +1:00 GMT,212.107.59.57:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,15:54:04 +1:00 GMT,212.110.157.132:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:07:28 +1:00 GMT,212.107.59.77:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:16:28 +1:00 GMT,212.112.181.25:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:18:42 +1:00 GMT,212.106.68.233:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:19:40 +1:00 GMT,212.108.73.224:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:23:26 +1:00 GMT,212.106.68.77:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:26:00 +1:00 GMT,212.109.29.25:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:27:56 +1:00 GMT,193.204.138.200:3385,192.168.31.2:1433,TCP (flags:S)
FWIN,2003/11/23,16:29:34 +1:00 GMT,212.109.5.93:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:34:50 +1:00 GMT,212.106.65.119:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:36:16 +1:00 GMT,162.83.244.125:0,192.168.31.2:3128,TCP (flags:S)
FWIN,2003/11/23,16:37:50 +1:00 GMT,212.107.59.119:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:40:12 +1:00 GMT,212.107.59.230:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:57:44 +1:00 GMT,212.112.161.226:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:57:46 +1:00 GMT,212.112.181.58:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,16:57:50 +1:00 GMT,212.112.174.188:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,17:01:14 +1:00 GMT,212.107.56.14:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2003/11/23,17:09:26 +1:00 GMT,212.107.59.121:0,192.168.31.2:0,ICMP (type:8/subtype:0)
