ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/01/04,16:32:58 +1:00 GMT,67.125.233.93:2879,192.168.31.2:20168,TCP (flags:S)
FWIN,2004/01/04,16:45:12 +1:00 GMT,212.107.41.106:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,16:45:42 +1:00 GMT,220.120.135.104:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,17:05:24 +1:00 GMT,212.110.222.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,17:17:52 +1:00 GMT,212.111.52.58:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,17:24:02 +1:00 GMT,200.47.210.238:3833,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/01/04,18:16:36 +1:00 GMT,217.236.159.95:1077,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/01/04,19:07:56 +1:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,19:53:36 +1:00 GMT,210.248.51.210:4714,192.168.31.2:53,TCP (flags:S)
FWIN,2004/01/04,19:59:50 +1:00 GMT,81.78.5.199:2710,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/01/04,20:07:36 +1:00 GMT,212.107.37.104:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,20:11:06 +1:00 GMT,66.141.151.197:2941,192.168.31.2:21554,TCP (flags:S)
FWIN,2004/01/04,20:25:18 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,20:32:16 +1:00 GMT,212.111.174.118:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,20:40:28 +1:00 GMT,212.111.52.58:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,20:42:00 +1:00 GMT,68.114.44.46:1496,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/01/04,21:08:28 +1:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,21:10:24 +1:00 GMT,68.123.207.188:1525,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/01/04,21:26:56 +1:00 GMT,212.110.222.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,21:37:14 +1:00 GMT,212.108.73.51:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,21:47:14 +1:00 GMT,212.111.174.118:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,22:17:40 +1:00 GMT,212.111.173.217:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,22:23:16 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,22:29:40 +1:00 GMT,212.112.174.188:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,22:54:28 +1:00 GMT,212.110.222.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,23:08:14 +1:00 GMT,210.216.169.135:1387,192.168.31.2:6129,TCP (flags:S)
FWIN,2004/01/04,23:09:42 +1:00 GMT,212.111.174.118:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,23:29:00 +1:00 GMT,212.107.41.114:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/04,23:32:32 +1:00 GMT,217.88.133.148:4498,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/01/04,23:56:10 +1:00 GMT,212.111.52.58:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/05,00:02:10 +1:00 GMT,212.112.6.250:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/05,00:21:44 +1:00 GMT,212.110.222.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/05,00:41:22 +1:00 GMT,212.112.161.172:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/05,01:15:54 +1:00 GMT,212.112.0.83:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/05,01:37:08 +1:00 GMT,212.111.52.58:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/05,01:42:10 +1:00 GMT,212.112.174.188:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/05,02:01:24 +1:00 GMT,212.112.6.250:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/05,02:09:36 +1:00 GMT,80.48.41.129:1138,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/01/05,02:44:36 +1:00 GMT,212.112.161.172:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/01/05,03:11:02 +1:00 GMT,210.114.175.29:60574,192.168.31.2:6112,TCP (flags:S)
FWIN,2004/01/05,03:14:26 +1:00 GMT,212.110.222.101:0,192.168.31.2:0,ICMP (type:8/subtype:0)
