ZoneAlarm Logging Client v4.0.146.029
Windows 2000-5.0.2195-Service Pack 4-SP
type,date,time,source,destination,transport
FWIN,2004/02/20,14:04:52 +1:00 GMT,64.9.0.66:50339,192.168.31.2:4000,TCP (flags:S)
FWIN,2004/02/20,14:26:54 +1:00 GMT,68.55.13.71:4721,192.168.31.2:1433,TCP (flags:S)
FWIN,2004/02/20,14:29:56 +1:00 GMT,81.185.239.69:1971,192.168.31.2:3127,TCP (flags:S)
FWIN,2004/02/20,14:31:42 +1:00 GMT,212.111.2.201:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/20,14:43:10 +1:00 GMT,61.248.128.164:2622,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/20,14:43:16 +1:00 GMT,130.160.148.137:4347,192.168.31.2:389,TCP (flags:S)
FWIN,2004/02/20,14:59:04 +1:00 GMT,212.108.73.110:0,192.168.31.2:0,ICMP (type:8/subtype:0)
PE,2004/02/20,15:12:38 +1:00 GMT,Generic Host Process for Win32 Services,192.168.31.15:48595,N/A
PE,2004/02/20,15:12:40 +1:00 GMT,MS DTC console program,192.168.31.15:51203,N/A
PE,2004/02/20,15:12:40 +1:00 GMT,Aparat Harmonogramu zadañ,192.168.31.15:51204,N/A
PE,2004/02/20,15:12:58 +1:00 GMT,Biblioteka DLL pliku wykonywalnego i serwera LSA (wersja ekspo,192.168.31.2:500,N/A
FWIN,2004/02/20,15:19:22 +1:00 GMT,61.219.255.237:2747,192.168.31.2:22,TCP (flags:S)
FWIN,2004/02/20,15:39:30 +1:00 GMT,217.225.176.70:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/20,15:42:20 +1:00 GMT,61.111.211.106:3855,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/20,15:42:20 +1:00 GMT,212.198.156.211:0,192.168.31.2:0,ICMP (type:8/subtype:0)
FWIN,2004/02/20,15:42:48 +1:00 GMT,211.245.202.186:1419,192.168.31.2:17300,TCP (flags:S)
FWIN,2004/02/20,16:32:46 +1:00 GMT,68.115.140.19:2887,192.168.31.2:901,TCP (flags:S)
FWIN,2004/02/20,17:08:06 +1:00 GMT,212.102.16.32:4090,192.168.31.2:1433,TCP (flags:S)
